Date : 2024-07-28 16:13:17
Directory : d:\deployment-roamgram\roamgram-client\src
Total : 68 files,  7914 codes, 645 comments, 752 blanks, all 9311 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\deployment-roamgram\roamgram-client\src\types\MediaFile.ts                               | TypeScript     |          7 |          0 |          1 |          8 |
| d:\deployment-roamgram\roamgram-client\src\types\Place.ts                                   | TypeScript     |         10 |          0 |          1 |         11 |
| d:\deployment-roamgram\roamgram-client\src\types\Review.ts                                  | TypeScript     |          9 |          0 |          2 |         11 |
| d:\deployment-roamgram\roamgram-client\src\types\Route.ts                                   | TypeScript     |         10 |          0 |          1 |         11 |
| d:\deployment-roamgram\roamgram-client\src\types\Schedule.ts                                | TypeScript     |         19 |          1 |          3 |         23 |
| d:\deployment-roamgram\roamgram-client\src\types\TravelPlan.ts                              | TypeScript     |         10 |          0 |          2 |         12 |
| d:\deployment-roamgram\roamgram-client\src\types\request\ScheduleInsertRequest.ts           | TypeScript     |          9 |          0 |          2 |         11 |
| d:\deployment-roamgram\roamgram-client\src\types\request\TravelPlanUpsertRequest.ts         | TypeScript     |         23 |          0 |          4 |         27 |
| d:\deployment-roamgram\roamgram-client\src\vite-env.d.ts                                    | TypeScript     |          0 |          1 |          1 |          2 |
| Total                                                                                       |                |      7,914 |        645 |        752 |      9,311 |
+---------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
